bigram	n
flood waters	62
low water	19
flash flooding	15
water crossing	13
fatality occurred	8
woman drowned	8
heavy rain	7
flooded low	6
mile downstream	6
county road	5
flooded creek	5
flooded ditch	5
mobile home	5
swept downstream	5
victim drowned	5
water bridge	5
yards downstream	5
body found	4
flooded roadway	4
local hospital	4
rain swollen	4
rising waters	4
swift water	4
swollen creek	4
water swept	4
woman drove	4
100 yards	3
apparently swept	3
drainage canal	3
drainage ditch	3
driver drowned	3
flash flood	3
flood water	3
flooded wash	3
flooding occurred	3
found dead	3
heavy rainfall	3
lost control	3
moving water	3
person died	3
person drowned	3
pm cst	3
rising water	3
route 40	3
storm drain	3
submerged vehicle	3
vehicle stalled	3
vehicles drove	3
victim died	3
washed downstream	3
water rescue	3
water rescues	3
waters swept	3
10 feet	2
11 45	2
2 hours	2
200 yards	2
3 feet	2
3 miles	2
45 pm	2
8 00	2
accotink creek	2
batavia kill	2
boy drowned	2
cibolo creek	2
city's water	2
collapsed due	2
completely submerged	2
control channel	2
county route	2
creek road	2
creek south	2
current carried	2
dragged downstream	2
drainage culvert	2
driver attempted	2
fast flowing	2
feet deep	2
flood control	2
flood debris	2
flooded basement	2
flooded road	2
flooding reports	2
flowing water	2
galena il	2
grande river	2
gravel road	2
guadalupe river	2
half mile	2
heart attack	2
incident occurred	2
interstate 45	2
lick creek	2
lincoln creek	2
low bridge	2
maplecrest road	2
miles downstream	2
miles south	2
ostrander road	2
parking lot	2
person drove	2
person move	2
pickup truck	2
pm cdt	2
produced heavy	2
pronounced dead	2
railroad bridge	2
rain caused	2
rapidly moving	2
reported helping	2
reported missing	2
rescue workers	2
returning home	2
rio grande	2
river botijas	2
road bridge	2
road county	2
rock creek	2
rose quickly	2
route 35	2
running water	2
rushing water	2
rushing waters	2
sandy river	2
santa fe	2
separate vehicles	2
soccer fields	2
sought shelter	2
south fork	2
standing water	2
swatara creek	2
swatara township	2
telegraph road	2
tropical storm	2
vehicle drowned	2
vehicle swept	2
victim drove	2
water flowing	2
water supply	2
woman died	2
00 pm	1
1 fairfax	1
10 00	1
10 329th	1
10 inmates	1
10 rescues	1
11 people	1
12 18	1
12 2011	1
12 30	1
12 feet	1
12 passengers	1
13 46	1
13 miles	1
1340 resulting	1
13th street	1
1460 east	1
150 feet	1
150 yards	1
18 inches	1
2 guards	1
2 people	1
2 p.m	1
20 feet	1
20 injured	1
20 month	1
200 feet	1
236 west	1
25 foot	1
250 yards	1
2.5mi west	1
3 barricades	1
3 days	1
3 firefighters	1
3 people	1
30 feet	1
30 pm	1
300 yards	1
329th st	1
32nd st	1
3rd river	1
4 children	1
4 miles	1
40 channel	1
